date,value_A,value_AG,value_AL,value_AO,value_AP,value_AU,value_B,value_BC,value_BR,value_BU,value_C,value_CF,value_CJ,value_CS,value_CU,value_EB,value_EC,value_EG,value_FG,value_FU,value_HC,value_I,value_IC,value_IF,value_IH,value_IM,value_J,value_JD,value_JM,value_L,value_LC,value_LG,value_LH,value_LU,value_M,value_MA,value_NI,value_NR,value_OI,value_P,value_PF,value_PG,value_PK,value_PP,value_PR,value_PS,value_PX,value_RB,value_RM,value_RU,value_SA,value_SF,value_SH,value_SI,value_SM,value_SN,value_SP,value_SR,value_SS,value_T,value_TA,value_TF,value_TL,value_TS,value_UR,value_V,value_Y,value_ZN
2024-01-25,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1003557.5969927572,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-26,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,998333.1814951204,1000000.0,1000000.0,1000000.0,1003755.5943654476,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-29,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,996388.17778079,1000000.0,1000159.4117216502,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000095.5759274624,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,998364.8485660524,1000000.0,1000000.0,1005422.9439040042,1000000.0,1000000.0,1000000.0,1005339.5733469676,1000000.0,1000000.0,1000000.0,1000000.0,1000271.748145025
2024-01-30,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1008304.0318240208,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1005693.3412042964,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,995202.7656683284,1000315.0224079492,1000000.0,997282.02384235,997647.090235466,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,998448.4243693284,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,997805.0800704844,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,995520.513055561,1000000.0,1000000.0,1005422.9439040042,1000000.0,1003479.2108320066,1000000.0,1008499.3936179904,1000000.0,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-01-31,996686.7972699272,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1008304.0318240208,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1005693.3412042964,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,996830.6831216256,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,997805.0800704844,1000000.0,1000000.0,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,992798.9065912884,1000000.0,1000000.0,1005422.9439040042,1000000.0,996789.1926956254,1000000.0,1008499.3936179904,1000000.0,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-02-01,995578.391319737,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1008304.0318240208,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1005693.3412042964,1000000.0,1000000.0,1000000.0,1000000.0,995665.551251986,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,999334.0887318468,1000000.0,1002254.3558807516,1000000.0,1000000.0,1000000.0,1000000.0,985305.8944729912,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,997805.0800704844,993584.3524490298,1000000.0,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,997913.9862121592,1000000.0,1000000.0,1005422.9439040042,1000000.0,983546.5693953846,1000000.0,1008499.3936179904,1000000.0,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-02-02,1001785.4646408056,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1001455.1029864711,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000075.4578979466,1000000.0,1000000.0,1000000.0,1000000.0,974151.1552783652,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,972398.050018478,1000000.0,996525.370160926,1000000.0,1000000.0,1000000.0,1000000.0,985305.8944729912,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,997805.0800704844,1004344.2789339564,1000000.0,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,997913.9862121592,1000000.0,1000000.0,1005422.9439040042,1000000.0,983546.5693953846,999843.157213976,1008499.3936179904,999310.883628519,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-02-05,999346.9715503848,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1001455.1029864711,1000000.0,1000000.0,1005300.981096049,1000000.0,1000000.0,1000000.0,1000075.4578979466,1000000.0,1000000.0,1000000.0,1000000.0,974151.1552783652,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,972398.050018478,1000000.0,998571.4364894351,1000000.0,1000000.0,1000000.0,1000000.0,985305.8944729912,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,997805.0800704844,1012829.6397286344,1000000.0,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,997913.9862121592,1000000.0,1000000.0,1005422.9439040042,1000000.0,983546.5693953846,1000189.9927774168,1008499.3936179904,998903.3680696778,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-02-06,990046.4702310476,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1001455.1029864711,1000000.0,1000000.0,1013343.288485692,1000000.0,1000000.0,1000000.0,1000075.4578979466,1000000.0,1000000.0,1000000.0,1000000.0,974151.1552783652,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,972398.050018478,1000000.0,1002254.3558807522,1000000.0,1000000.0,1000000.0,1007540.503351178,985305.8944729912,1000000.0,1000000.0,1000837.4996917604,1000000.0,1000000.0,1000000.0,997805.0800704844,1012829.6397286344,1007692.5914363626,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,997913.9862121592,1000000.0,1000000.0,1005422.9439040042,1000000.0,983546.5693953846,1000189.9927774168,1008687.8673170544,998903.3680696778,1000000.0,1000000.0,1000000.0,993187.4045382758
2024-02-07,990046.4702310476,1000000.0,1000000.0,1000000.0,1000000.0,994864.2772841288,1000000.0,1001455.1029864711,1000000.0,1000000.0,1010803.61246791,1000000.0,1000000.0,1000000.0,1000075.4578979466,1000000.0,1000000.0,1000000.0,1000000.0,974151.1552783652,995202.7656683284,994931.5588831544,1000000.0,997282.02384235,982881.5174017742,1000000.0,1000000.0,1000000.0,1000000.0,997529.6055919204,1000000.0,1000000.0,1000000.0,972398.050018478,1000000.0,1022305.8059001428,1000000.0,1000000.0,1000000.0,1007540.503351178,984195.521654212,1000000.0,1000000.0,1000837.4996917604,1000000.0,1000000.0,997023.6342861718,997805.0800704844,1012829.6397286344,1015597.8338948588,1000000.0,998396.5324058356,1000000.0,1000000.0,1000000.0,997913.9862121592,1000000.0,1000000.0,1005422.9439040042,1000000.0,982104.0405066196,1000189.9927774168,1010657.8025771586,998903.3680696778,1000000.0,1000000.0,1000000.0,993187.4045382758
