entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2022-07-26 17:41:00,2022-07-27 13:59:00,5667.165161557833,5715.518698045241,IM,19210.73,18299.96
2022-07-29 17:41:00,2022-08-01 13:33:00,5797.8503953075815,5759.461607893593,IM,15290.17,14365.78
2022-08-02 13:41:00,2022-08-04 15:08:00,5670.595648943765,5621.425329745422,IM,-19472.1,-20375.5
2022-08-05 17:21:00,2022-08-05 17:57:00,5669.615509690641,5715.355341503053,IM,17642.51,16731.71
2022-08-09 17:41:00,2022-08-09 18:21:00,5822.027163551285,5845.713862168427,IM,9736.05,8802.58
2022-08-12 14:31:00,2022-08-12 15:16:00,5946.50484869792,5926.575350551084,IM,-7645.09,-8595.0
2022-08-15 13:51:00,2022-08-15 17:30:00,5921.511297743282,5950.5887622526,IM,-11565.64,-12515.4
2022-08-15 18:11:00,2022-08-16 13:49:00,5932.292829527635,5967.251129555693,IM,13852.63,12900.67
2022-08-17 15:01:00,2022-08-17 17:08:00,5962.78328426824,5993.203970043697,IM,-11773.63,-12730.34
2022-08-18 13:41:00,2022-08-18 15:21:00,5970.840655095253,5995.177203715619,IM,9866.17,8908.99
2022-08-19 14:01:00,2022-08-19 14:10:00,5998.630362641481,5966.072007054776,IM,-12168.27,-13125.49
2022-08-22 14:31:00,2022-08-23 14:12:00,5916.741165256737,5954.725913441227,IM,-15325.45,-16275.14
2022-08-25 13:51:00,2022-08-25 14:06:00,5741.781113013028,5699.192152927388,IM,17167.13,16251.83
2022-08-26 15:21:00,2022-08-26 18:04:00,5741.287804595047,5702.974184131904,IM,-15654.32,-16569.82
2022-08-30 18:11:00,2022-08-31 13:47:00,5698.53440837008,5648.052513596755,IM,19929.66,19021.99
2022-08-31 17:31:00,2022-08-31 18:34:00,5607.930095601017,5528.671876445501,IM,32492.58,31601.78
2022-09-05 14:41:00,2022-09-06 13:51:00,5546.595415632122,5592.308662364972,IM,18548.4,17657.26
2022-09-07 17:01:00,2022-09-08 17:03:00,5683.570719691343,5650.84792796531,IM,-13220.67,-14127.42
2022-09-08 17:31:00,2022-09-08 18:44:00,5666.962669619336,5645.0926630888725,IM,8419.13,7514.18
2022-09-13 14:01:00,2022-09-14 13:32:00,5679.788688486826,5617.138519403317,IM,-25191.62,-26095.29
